method,regime,seed,eval_final,eval_last5,eval_mean_all,train_last50,msg_acc_last50,msg_loss_last50,entropy_last50,updates
mappo-comm,dropout-only,0,21.15,8.54,2.7695833333333333,19.28,0.0,0.0,2.5702539533376694,1000
mappo-comm,dropout-only,1,8.333333333333334,4.26,1.10125,0.36,0.0,0.0,3.2804636886715888,1000
mappo-comm,dropout-only,2,12.5,4.276666666666666,1.6949999999999998,5.46,0.0,0.0,2.619830149412155,1000
mappo-comm,dropout-only,3,25.133333333333333,13.706666666666667,3.8862499999999995,44.37,0.0,0.0,2.2385673251748086,1000
mappo-comm,dropout-only,4,25.383333333333333,20.57333333333333,5.37625,54.57,0.0,0.0,2.4224423712491987,1000
mappo-comm,dropout-only,5,25.066666666666666,10.516666666666666,3.0608333333333335,36.46,0.0,0.0,2.0423681818693877,1000
mappo-comm,dropout-only,6,16.65,15.280000000000001,4.422916666666667,51.24,0.0,0.0,2.494467227309942,1000
mappo-comm,dropout-only,7,20.916666666666668,13.743333333333334,5.7475000000000005,46.47,0.0,0.0,2.159349694773555,1000
mappo-intent-aux,dropout-only,0,65.18333333333334,37.019999999999996,17.502916666666668,74.89,0.5324162535741925,0.9560326474532485,1.4446461810171605,1000
mappo-intent-aux,dropout-only,1,16.6,16.256666666666668,4.812916666666667,48.94,0.5647817698400468,0.9103421797510236,1.6828557269275188,1000
mappo-intent-aux,dropout-only,2,20.983333333333334,14.566666666666666,2.7170833333333335,35.88,0.6230761277512648,0.7862570431642234,1.8048580497503282,1000
mappo-intent-aux,dropout-only,3,29.25,20.240000000000002,10.005416666666665,74.5,0.5505134939216078,0.9324440605938434,1.267054094672203,1000
mappo-intent-aux,dropout-only,4,41.2,34.85666666666667,8.07375,75.5,0.5682861450873316,0.9301669697277248,1.26800592944026,1000
mappo-intent-aux,dropout-only,5,29.216666666666665,14.326666666666664,3.5174999999999996,37.63,0.5448993678670376,0.9368088520504534,1.9304414386302233,1000
mappo-intent-aux,dropout-only,6,33.45,18.79,7.277500000000001,67.53,0.5587623760569841,0.9150137792155146,1.29081194229424,1000
mappo-intent-aux,dropout-only,7,16.766666666666666,10.066666666666666,3.2979166666666666,35.42,0.5464938993379473,0.9239224949665368,1.7175018000602722,1000
mappo-no-comm,dropout-only,0,20.983333333333334,18.653333333333332,5.014583333333333,59.8,0.0,0.0,0.4822550544166006,1000
mappo-no-comm,dropout-only,1,24.9,8.343333333333334,2.245833333333333,20.07,0.0,0.0,1.0204672622680664,1000
mappo-no-comm,dropout-only,2,25.3,14.669999999999998,2.840416666666667,20.93,0.0,0.0,0.856752513172105,1000
mappo-no-comm,dropout-only,3,12.5,3.3333333333333335,1.3945833333333335,8.06,0.0,0.0,0.9381476145982742,1000
mappo-no-comm,dropout-only,4,12.5,8.563333333333333,2.5816666666666666,27.58,0.0,0.0,1.0275719454605132,1000
mappo-no-comm,dropout-only,5,32.86666666666667,25.009999999999998,8.015416666666667,61.15,0.0,0.0,0.15682187067053746,1000
mappo-no-comm,dropout-only,6,41.766666666666666,19.336666666666666,4.694583333333333,70.89,0.0,0.0,0.4071172029431909,1000
mappo-no-comm,dropout-only,7,16.783333333333335,5.293333333333334,1.3141666666666667,27.97,0.0,0.0,0.9803760129585862,1000
