method,seed,run,last5_eval_return,final_eval_return,last50_msg_grounding_acc
mappo-no-comm,0,mappo-no-comm__dropout-only__d0__s0,0.16333333333333333,0.4166666666666667,0.0
mappo-no-comm,1,mappo-no-comm__dropout-only__d0__s1,0.27,0.65,0.0
mappo-no-comm,2,mappo-no-comm__dropout-only__d0__s2,0.25,0.43333333333333335,0.0
mappo-no-comm,3,mappo-no-comm__dropout-only__d0__s3,0.16666666666666666,0.6333333333333333,0.0
mappo-no-comm,4,mappo-no-comm__dropout-only__d0__s4,0.45666666666666667,0.65,0.0
mappo-no-comm,5,mappo-no-comm__dropout-only__d0__s5,1.5066666666666666,5.583333333333333,0.0
mappo-no-comm,6,mappo-no-comm__dropout-only__d0__s6,0.2966666666666667,0.65,0.0
mappo-no-comm,7,mappo-no-comm__dropout-only__d0__s7,0.36333333333333334,0.8333333333333334,0.0
mappo-comm,0,mappo-comm__dropout-only__d0__s0,0.13,0.43333333333333335,0.0
mappo-comm,1,mappo-comm__dropout-only__d0__s1,2.013333333333333,0.8,0.0
mappo-comm,2,mappo-comm__dropout-only__d0__s2,1.3,0.65,0.0
mappo-comm,3,mappo-comm__dropout-only__d0__s3,0.42000000000000004,0.9833333333333333,0.0
mappo-comm,4,mappo-comm__dropout-only__d0__s4,5.869999999999999,1.5833333333333333,0.0
mappo-comm,5,mappo-comm__dropout-only__d0__s5,0.08666666666666667,0.43333333333333335,0.0
mappo-comm,6,mappo-comm__dropout-only__d0__s6,3.003333333333333,5.566666666666666,0.0
mappo-comm,7,mappo-comm__dropout-only__d0__s7,0.9366666666666665,0.31666666666666665,0.0
mappo-intent-aux,0,mappo-intent-aux__dropout-only__d0__s0,10.853333333333333,13.933333333333334,0.5024476788844914
mappo-intent-aux,1,mappo-intent-aux__dropout-only__d0__s1,4.45,1.8833333333333333,0.5562270713574253
mappo-intent-aux,2,mappo-intent-aux__dropout-only__d0__s2,2.6133333333333333,1.5833333333333333,0.6766141310892999
mappo-intent-aux,3,mappo-intent-aux__dropout-only__d0__s3,6.85,5.533333333333333,0.5488598220236599
mappo-intent-aux,4,mappo-intent-aux__dropout-only__d0__s4,2.0933333333333333,1.1833333333333333,0.6310172737389803
mappo-intent-aux,5,mappo-intent-aux__dropout-only__d0__s5,7.273333333333333,9.833333333333334,0.5252016289159656
mappo-intent-aux,6,mappo-intent-aux__dropout-only__d0__s6,3.8766666666666665,1.1333333333333333,0.5775683695822954
mappo-intent-aux,7,mappo-intent-aux__dropout-only__d0__s7,4.16,5.083333333333333,0.6213681281823665
