phase,env,method,regime,delay,n,seeds,train_last50_mean,train_last50_sd,eval_last10_mean,eval_last10_sd,entropy_last100_mean,entropy_last100_sd,q_table_size_mean,q_table_size_sd
headroom,rware-medium-4ag-v2,mappo-heartbeat-only,delay-dropout,30,8,0 1 2 3 4 5 6 7,108.09375,73.43865174172832,30.30645833333333,23.165222949833144,0.608270182897104,0.12728380277542506,,
headroom,rware-medium-4ag-v2,mappo-heartbeat-only,delay-only,30,8,0 1 2 3 4 5 6 7,122.67,43.75491025506248,32.28916666666667,19.013092899034117,0.8456920644268393,0.1176851484477029,,
headroom,rware-small-4ag-v2,mappo-heartbeat-only,delay-dropout,30,8,0 1 2 3 4 5 6 7,206.43625,33.7334035119494,61.984375,8.024982813486023,0.582916430964251,0.15640578787279527,,
headroom,rware-small-4ag-v2,mappo-heartbeat-only,delay-only,30,8,0 1 2 3 4 5 6 7,206.67125000000001,26.99141103467652,50.21729166666666,9.084503285837744,0.7281554694584338,0.1361835307698406,,
heuristic,rware-medium-4ag-v2,heuristic,baseline,0,8,0 1 2 3 4 5 6 7,0.10625000000000001,0.017677669529663684,0.1375,0.05175491695067657,,,,
heuristic,rware-medium-4ag-v2,heuristic,delay-dropout,30,8,0 1 2 3 4 5 6 7,0.0,0.0,0.0,0.0,,,,
heuristic,rware-medium-4ag-v2,heuristic,delay-only,30,8,0 1 2 3 4 5 6 7,0.0,0.0,0.0,0.0,,,,
heuristic,rware-medium-4ag-v2,heuristic,dropout-only,0,8,0 1 2 3 4 5 6 7,0.10625000000000001,0.017677669529663684,0.1375,0.05175491695067657,,,,
hrl,rware-medium-4ag-v2,hrl,delay-dropout,30,8,0 1 2 3 4 5 6 7,0.08750000000000001,0.010350983390135316,0.07,0.02,,,1000.75,18.108798177365923
hrl,rware-medium-4ag-v2,hrl,delay-only,30,8,0 1 2 3 4 5 6 7,0.08,0.015118578920369092,0.0625,0.02866057521105554,,,1011.125,30.98127314547105
hrl,rware-medium-4ag-v2,hrl-comm,delay-dropout,30,8,0 1 2 3 4 5 6 7,0.0925,0.010350983390135316,0.0675,0.013887301496588272,,,726.625,20.177338773981074
hrl,rware-medium-4ag-v2,hrl-comm,delay-only,30,8,0 1 2 3 4 5 6 7,0.095,0.009258200997725516,0.05625,0.014078859531733587,,,730.625,38.61138803143815
main_mappo_comm,rware-medium-4ag-v2,mappo-heartbeat-plus-comm,delay-dropout,30,8,0 1 2 3 4 5 6 7,97.93,47.990133212091486,23.512083333333333,15.688025150888835,2.1817082621762527,0.14618822820071792,,
main_mappo_comm,rware-medium-4ag-v2,mappo-heartbeat-plus-comm,delay-only,30,8,0 1 2 3 4 5 6 7,108.18,22.38594074094593,23.242291666666667,8.746045634234427,2.4540998650714756,0.06983441864188081,,
main_mappo_no_mech,rware-medium-4ag-v2,mappo-no-comm,baseline,0,8,0 1 2 3 4 5 6 7,95.71374999999999,71.35450289875595,22.56125,14.761104288012712,0.7582412539888174,0.17720037982716894,,
main_mappo_no_mech,rware-medium-4ag-v2,mappo-no-comm,dropout-only,0,8,0 1 2 3 4 5 6 7,91.485,69.40461697281282,22.01354166666667,19.920422985833504,0.6684466771845473,0.17631046035555223,,
oracle_ceiling,rware-medium-4ag-v2,mappo-heartbeat-plus-comm,delay-dropout,30,8,0 1 2 3 4 5 6 7,108.74375,43.40362655601817,27.843124999999997,17.365311583123646,2.439275932256132,0.13828384909060432,,
